Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 20:31:28 EDT 2021,Created room (206),CreateRoom,Room number: 206 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:34:23 EDT 2021,No timeslots to delete on (01-01-2021),CreateRoom,Room number: 206 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],false
Fri Oct 08 20:35:24 EDT 2021,No timeslots to delete on (01-01-2021),CreateRoom,Room number: 206 | Date: 01-01-2021 | List of Timeslots: [10:00-10:30],false
Fri Oct 08 20:38:33 EDT 2021,Room already exist with specified timeslots,CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],false
Fri Oct 08 20:38:43 EDT 2021,Created room (206),CreateRoom,Room number: 206 | Date: 01-01-2021 | List of Timeslots: [10:00-10:30],true
Fri Oct 08 20:42:44 EDT 2021,No timeslots to delete on (01-01-2021),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],false
Fri Oct 08 20:44:09 EDT 2021,No timeslots to delete on (01-01-2021),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],false
Fri Oct 08 20:51:57 EDT 2021,Removed timeslots from room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:52:13 EDT 2021,No timeslots to delete on (01-01-2021),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],false
Fri Oct 08 20:52:53 EDT 2021,Room already exist with specified timeslots,CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],false
Fri Oct 08 20:53:16 EDT 2021,Created room (210),CreateRoom,Room number: 210 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00, 10:00-10:30, 11:00-12:00],true
Fri Oct 08 20:53:27 EDT 2021,Removed timeslots from room (210),CreateRoom,Room number: 210 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 21:32:50 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 10-01-2021 | List of Timeslots: [9:30-10:00],true
