Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 13:28:16 EDT 2021,DVL 5 KKL (no response from server) WST (no response from server),GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 13:31:50 EDT 2021,DVL 1 KKL (no response from server) WST (no response from server),GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 13:32:18 EDT 2021,DVL 1 KKL 1 WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 13:35:53 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: KKL:9cbbf91b-a85e-480e-be7b-ec4ac3eb4f05,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:37:11 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: WST:ed7f22f2-b63f-4abb-b460-33a7a334c1fa,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:37:19 EDT 2021,Cancelled booking (WST:ed7f22f2-b63f-4abb-b460-33a7a334c1fa),CreateRoom,Booking Id: WST:ed7f22f2-b63f-4abb-b460-33a7a334c1fa,true
Fri Oct 08 18:15:21 EDT 2021,DVL 1 KKL (no response from server) WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
null,Unable to get server details from the central repository,null,null,false
null,Unable to connect to remote server,null,null,false
null,Unable to get server details from the central repository,null,null,false
null,Unable to connect to remote server,null,null,false
null,Unable to connect to remote server,null,null,false
null,Unable to connect to remote server,null,null,false
Fri Oct 08 18:32:15 EDT 2021,DVL 1 KKL 1 WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 18:32:25 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:86b1b825-7ec2-47a7-becf-c3ce45d59da0,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 18:32:36 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: KKL:ce612356-db1f-4523-8c8b-c35bff35ebd0,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 18:34:42 EDT 2021,Cancelled booking (KKL:ce612356-db1f-4523-8c8b-c35bff35ebd0),CreateRoom,Booking Id: KKL:ce612356-db1f-4523-8c8b-c35bff35ebd0,true
Fri Oct 08 18:35:44 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: WST:0706f9cd-f0f7-43eb-af05-a50760bfb9ce,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 18:35:50 EDT 2021,Cancelled booking (WST:0706f9cd-f0f7-43eb-af05-a50760bfb9ce),CreateRoom,Booking Id: WST:0706f9cd-f0f7-43eb-af05-a50760bfb9ce,true
null,Unable to connect to remote server,null,null,false
null,Unable to connect to remote server,null,null,false
Fri Oct 08 18:37:48 EDT 2021,Unable to book room, timeslot (9:30-10:00) has already booked,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,false
Fri Oct 08 18:37:58 EDT 2021,Timeslot (10:00-10:30) does not exist on (01-01-2021),CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 10:00-10:30,false
Fri Oct 08 18:38:35 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:b9245ac1-4652-4904-b2e9-2a15848489af,CreateRoom,Identifier: dvls1234 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 18:39:45 EDT 2021,Unable to book room, maximum booking limit is reached,CreateRoom,Identifier: dvls1234 | Room Number: 203 | Date: 03-01-2021 | Timeslot: 11:00-11:30,false
