Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 13:09:13 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:09:15 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:09:17 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:09:19 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: bb323047-c46f-49e9-9f04-34509f208d08,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:09:22 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: 6cf407c7-b6ef-4e94-9934-6ffaf116f456,CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 13:19:20 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:19:20 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:19:20 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:19:20 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:df6d3f83-575b-4458-bc34-cca7cf873b41,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:19:20 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:47a71a42-95fd-40c8-9172-cde0852e504f,CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 13:19:41 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:19:41 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:19:41 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:19:43 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:78bfd995-4d1a-4973-87e6-1ecab39e6d89,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:19:44 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:b9c5385e-07a6-4f00-abd5-d388b94cd9cd,CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 13:20:02 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:20:02 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:20:02 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:20:02 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:4f27e84c-73a4-434b-af85-231c086071f0,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:20:02 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:5b9a2a0e-29a8-41cc-820d-ca67d4b0b756,CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 13:20:07 EDT 2021,1,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 13:20:07 EDT 2021,1,CreateRoom,Identifier: dvls1233 | Date: 02-01-2021,true
Fri Oct 08 13:22:54 EDT 2021,1,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 13:22:55 EDT 2021,1,CreateRoom,Identifier: dvls1233 | Date: 02-01-2021,true
Fri Oct 08 13:23:53 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:23:53 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:23:53 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:23:53 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:b27424b9-b6b4-4edc-8ae8-1084776d5d81,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:23:53 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:c7187d2e-79d4-46bd-9736-117c91b50078,CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 13:25:25 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:25:25 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:25:25 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:25:26 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:72d5ccd7-15b5-4160-affd-85962ee4c275,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:25:27 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:33b8f99f-d8f6-4014-b906-1e520018a058,CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 13:25:47 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:25:47 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:25:47 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:25:49 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:6cddc0ec-076d-47ab-90c6-5a0d1adb1756,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:25:50 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:94582b50-72d2-46b0-bfb3-69c749a0ad6e,CreateRoom,Identifier: dvls1233 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 13:27:16 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:27:16 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:27:16 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:27:16 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:27:16 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:27:28 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:27:28 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:27:28 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:27:28 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:27:28 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:27:31 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:27:31 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:27:31 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:27:31 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:27:31 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:27:43 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:27:43 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
