Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 13:32:10 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:32:10 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:32:10 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:32:10 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:32:10 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:32:18 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 13:34:13 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:34:13 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:34:13 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:34:13 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:34:13 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:35:40 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:35:40 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:35:40 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:35:40 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:35:40 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:35:53 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 13:35:53 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: KKL:9cbbf91b-a85e-480e-be7b-ec4ac3eb4f05,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 13:36:58 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 13:36:58 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 13:36:58 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 13:36:58 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 13:36:58 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 13:37:11 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:21:19 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:21:19 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 18:21:19 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 18:21:19 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 18:21:19 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:29:18 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:29:18 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
